"id","d2"
1,150
2,127
3,127
4,122
5,122
6,123
7,124
8,122
9,120
10,140
11,121
12,130
13,121
14,120
15,123
16,120
17,121
18,123
19,122
20,128
21,129
22,123
23,122
24,123
25,120
26,118
27,113
28,102
29,104
30,109
31,102
32,104
33,117
34,104
35,111
36,103
37,109
38,106
39,107
40,102
41,112
42,105
43,105
44,103
45,113
46,104
47,100
48,112
49,105
50,100
51,98
52,100
53,83
54,91
55,99
56,80
57,98
58,98
59,96
60,94
61,87
62,99
63,88
64,93
65,98
66,98
67,96
68,90
69,100
70,90
71,87
72,84
73,100
74,98
75,80
76,80
77,78
78,75
79,76
80,77
81,78
82,76
83,80
84,75
85,77
86,80
87,77
88,77
89,74
90,72
91,72
92,78
93,76
94,74
95,79
96,73
97,75
98,80
99,79
100,50
