"id","d4"
1,150
2,145
3,145
4,145
5,145
6,145
7,145
8,145
9,145
10,145
11,145
12,145
13,145
14,145
15,145
16,145
17,145
18,145
19,145
20,145
21,145
22,145
23,145
24,145
25,120
26,120
27,120
28,120
29,120
30,120
31,120
32,120
33,120
34,120
35,120
36,120
37,120
38,120
39,120
40,120
41,120
42,120
43,120
44,120
45,120
46,120
47,120
48,120
49,120
50,100
51,100
52,100
53,100
54,100
55,100
56,100
57,100
58,100
59,100
60,100
61,100
62,100
63,100
64,100
65,100
66,100
67,100
68,100
69,100
70,100
71,100
72,100
73,100
74,100
75,80
76,75
77,75
78,75
79,75
80,75
81,75
82,75
83,75
84,75
85,75
86,75
87,75
88,75
89,75
90,75
91,75
92,75
93,75
94,75
95,75
96,75
97,75
98,75
99,75
100,50
